nome,total_gasto
 joão silva,316.37
MARIA SOUZA ,730.11
 pedro lima ,3178.16
 marina rocha ,1598.41
 Lucas martins,1097.14
 Lucas martins,10316.25
 Lucas martins,2615.57
camila dias ,1261.63
 marina rocha ,2430.72
PAULO henrique,6736.85
PAULO henrique,1644.94
PAULO henrique,2639.53
PAULO henrique,1508.83
CARLOS souza ,3295.95
 Lucas martins,2796.78
ana costa,1158.21
rafael ALVES,3984.26
rafael ALVES,4138.67
 Lucas martins,4448.48
ana costa,1019.7
rafael ALVES,2373.58
 beatriz lima,1929.66
ana costa,1002.61
CARLOS souza ,2345.57
rafael ALVES,1209.33
 Lucas martins,857.58
rafael ALVES,4607.46
 Lucas martins,1996.46
PAULO henrique,1576.84
camila dias ,6037.55
camila dias ,4222.59
PAULO henrique,388.26
PAULO henrique,3682.8
CARLOS souza ,3670.75
PAULO henrique,2272.83
ana costa,2208.47
PAULO henrique,644.79
PAULO henrique,9428.96
camila dias ,2338.78
PAULO henrique,3546.22
 beatriz lima,2436.58
 beatriz lima,1598.22
 marina rocha ,4845.7
rafael ALVES,3098.01
 beatriz lima,2353.62
rafael ALVES,3519.97
 marina rocha ,2605.76
CARLOS souza ,1078.29
PAULO henrique,4737.11
 beatriz lima,3921.75
 beatriz lima,724.05
rafael ALVES,4014.93
ana costa,3947.39
 marina rocha ,1228.01
PAULO henrique,707.83
 Lucas martins,4608.66
 beatriz lima,4995.72
 marina rocha ,1712.9
 marina rocha ,1651.84
PAULO henrique,3060.39
 marina rocha ,1991.46
camila dias ,692.59
camila dias ,1216.04
ana costa,3457.21
 beatriz lima,1275.66
PAULO henrique,5162.61
 marina rocha ,3904.19
rafael ALVES,3553.64
CARLOS souza ,3015.19
 marina rocha ,1540.32
PAULO henrique,4271.33
ana costa,1504.74
 marina rocha ,5352.98
 Lucas martins,7182.86
 marina rocha ,3085.05
 Lucas martins,6581.56
 beatriz lima,1230.62
ana costa,3934.0
PAULO henrique,2746.18
CARLOS souza ,4661.41
ana costa,413.92
CARLOS souza ,4478.62
 Lucas martins,1660.89
camila dias ,2844.7
 beatriz lima,9326.96
 marina rocha ,4023.69
 beatriz lima,3671.89
CARLOS souza ,3469.76
 Lucas martins,5721.59
camila dias ,4767.82
 beatriz lima,3496.36
 beatriz lima,3203.39
camila dias ,3055.89
rafael ALVES,2638.44
rafael ALVES,1004.42
rafael ALVES,3965.64
rafael ALVES,1794.67
 marina rocha ,2410.65
ana costa,4982.37
rafael ALVES,2683.67
rafael ALVES,2534.59
 beatriz lima,3091.62
 beatriz lima,2187.24
rafael ALVES,1673.39
 beatriz lima,8408.49
 Lucas martins,8269.44
 marina rocha ,3477.72
 marina rocha ,1705.93
 beatriz lima,5071.06
 Lucas martins,2199.95
ana costa,5366.23
 marina rocha ,1643.22
CARLOS souza ,3651.63
camila dias ,1945.55
rafael ALVES,2292.92
 beatriz lima,2286.77
ana costa,779.36
camila dias ,1683.79
rafael ALVES,3431.05
 beatriz lima,3795.59
camila dias ,4177.93
ana costa,518.13
rafael ALVES,2207.86
CARLOS souza ,869.26
CARLOS souza ,3312.66
ana costa,645.72
CARLOS souza ,1112.83
 Lucas martins,4713.94
rafael ALVES,1840.42
 Lucas martins,6617.53
 beatriz lima,4251.75
camila dias ,2302.53
ana costa,561.54
ana costa,2450.16
ana costa,4537.31
 Lucas martins,1618.3
PAULO henrique,934.26
PAULO henrique,707.53
 Lucas martins,1111.39
 beatriz lima,1283.37
PAULO henrique,1757.65
 marina rocha ,3515.96
 marina rocha ,2788.2
PAULO henrique,4572.03
rafael ALVES,5919.42
ana costa,632.69
ana costa,6384.16
 marina rocha ,2410.41
 marina rocha ,8168.06
PAULO henrique,1560.96
 marina rocha ,458.71
CARLOS souza ,4283.91
 beatriz lima,4106.62
rafael ALVES,1137.47
 Lucas martins,1239.19
 marina rocha ,4800.21
PAULO henrique,3633.09
PAULO henrique,2234.12
 beatriz lima,3887.24
 Lucas martins,3388.69
PAULO henrique,1353.97
camila dias ,2938.83
PAULO henrique,4411.48
 marina rocha ,2833.96
ana costa,4802.28
 marina rocha ,8816.39
CARLOS souza ,1226.57
 marina rocha ,2310.14
PAULO henrique,2396.05
 marina rocha ,4732.95
 beatriz lima,1740.54
ana costa,4559.19
PAULO henrique,1906.26
PAULO henrique,1106.83
rafael ALVES,2954.76
PAULO henrique,1874.05
camila dias ,3165.52
 marina rocha ,3708.2
ana costa,680.37
camila dias ,2045.47
rafael ALVES,2956.49
PAULO henrique,4815.83
 Lucas martins,4433.12
 beatriz lima,1451.63
 marina rocha ,2484.02
ana costa,3840.33
 Lucas martins,2358.84
ana costa,1569.74
 marina rocha ,2711.89
 beatriz lima,3597.55
ana costa,1338.05
rafael ALVES,4124.17
 Lucas martins,3080.57
CARLOS souza ,4224.76
 beatriz lima,2668.57
CARLOS souza ,3816.95
ana costa,3550.17
CARLOS souza ,4546.03
 marina rocha ,4113.0
camila dias ,2460.34
PAULO henrique,3335.65
camila dias ,1772.84
PAULO henrique,7624.2
rafael ALVES,3820.67
 Lucas martins,1495.54
CARLOS souza ,3196.6
PAULO henrique,2552.84
ana costa,4971.89
camila dias ,662.38
ana costa,5795.59
CARLOS souza ,3715.31
rafael ALVES,1399.75
PAULO henrique,3671.57
ana costa,7144.41
 beatriz lima,1814.21
 beatriz lima,1795.42
PAULO henrique,2433.24
 Lucas martins,2936.97
 marina rocha ,5185.55
 marina rocha ,3855.38
 beatriz lima,2431.7
camila dias ,3434.64
ana costa,7887.06
CARLOS souza ,4307.48
CARLOS souza ,2623.58
 beatriz lima,2379.93
rafael ALVES,3297.06
 Lucas martins,5144.39
PAULO henrique,1620.45
rafael ALVES,4695.88
CARLOS souza ,2585.98
PAULO henrique,2865.21
 beatriz lima,11870.69
 Lucas martins,4389.27
rafael ALVES,1919.18
 marina rocha ,3708.08
 Lucas martins,2733.33
 beatriz lima,4420.94
rafael ALVES,378.12
 marina rocha ,2782.31
 beatriz lima,3817.44
ana costa,3613.91
 beatriz lima,2038.22
ana costa,4470.7
PAULO henrique,5811.53
ana costa,701.48
 beatriz lima,639.79
 Lucas martins,3686.13
 marina rocha ,4713.69
PAULO henrique,1820.15
PAULO henrique,403.54
 beatriz lima,2815.16
PAULO henrique,3650.45
CARLOS souza ,2292.44
PAULO henrique,5396.5
PAULO henrique,3502.61
 Lucas martins,1672.69
 Lucas martins,1809.3
ana costa,2858.31
 beatriz lima,2179.91
 marina rocha ,600.17
 beatriz lima,3301.84
 marina rocha ,1845.96
camila dias ,2091.65
 beatriz lima,1217.36
 Lucas martins,7261.81
 Lucas martins,4220.42
 Lucas martins,8393.96
ana costa,2284.06
 beatriz lima,4379.08
ana costa,3341.29
ana costa,1724.01
ana costa,2266.98
rafael ALVES,4215.28
ana costa,1215.89
 beatriz lima,5430.79
 Lucas martins,3155.79
 Lucas martins,4979.71
 Lucas martins,3660.17
ana costa,706.8
PAULO henrique,2783.82
PAULO henrique,5506.23
CARLOS souza ,3123.86
 Lucas martins,2834.47
rafael ALVES,3121.76
 Lucas martins,553.95
ana costa,928.12
PAULO henrique,297.45
CARLOS souza ,6653.39
 Lucas martins,2166.1
 marina rocha ,3832.87
ana costa,505.82
CARLOS souza ,4680.61
 beatriz lima,4174.2
ana costa,4008.48
ana costa,481.96
 Lucas martins,1546.27
 Lucas martins,3673.15
 marina rocha ,5770.03
 Lucas martins,1365.67
PAULO henrique,1397.09
ana costa,3512.61
PAULO henrique,11218.68
ana costa,1748.01
camila dias ,2146.63
 beatriz lima,1915.65
CARLOS souza ,2590.31
 beatriz lima,6062.5
PAULO henrique,2690.09
camila dias ,4998.37
 marina rocha ,3046.17
CARLOS souza ,6435.7
 Lucas martins,2267.47
camila dias ,1007.1
rafael ALVES,2686.92
 marina rocha ,4048.36
 Lucas martins,1557.37
rafael ALVES,5801.63
ana costa,1987.48
CARLOS souza ,1217.78
 marina rocha ,3150.62
 Lucas martins,1492.29
PAULO henrique,1943.0
 marina rocha ,4496.43
 beatriz lima,2209.94
rafael ALVES,1255.53
ana costa,1798.38
 beatriz lima,8743.41
 marina rocha ,4144.5
 Lucas martins,4696.04
 Lucas martins,3396.53
camila dias ,3798.14
ana costa,2086.72
camila dias ,3110.52
CARLOS souza ,437.96
 marina rocha ,4541.16
 Lucas martins,2072.37
 Lucas martins,1086.25
PAULO henrique,3235.43
 beatriz lima,2456.58
 marina rocha ,5159.92
PAULO henrique,2729.57
 marina rocha ,1768.07
rafael ALVES,2776.92
rafael ALVES,1451.41
 marina rocha ,5270.95
ana costa,4137.36
 Lucas martins,5419.0
ana costa,4350.58
 Lucas martins,1405.32
ana costa,4720.92
 marina rocha ,5835.87
rafael ALVES,6046.69
 marina rocha ,1167.13
rafael ALVES,1947.35
 Lucas martins,1730.36
ana costa,2251.21
 Lucas martins,3854.36
PAULO henrique,3179.15
camila dias ,3179.79
CARLOS souza ,911.3
ana costa,1891.87
rafael ALVES,6332.04
 beatriz lima,5819.78
camila dias ,2696.82
 Lucas martins,4729.34
rafael ALVES,3624.27
camila dias ,3941.68
ana costa,4864.88
PAULO henrique,2852.95
ana costa,4154.29
PAULO henrique,3786.36
rafael ALVES,2906.66
rafael ALVES,2480.69
 beatriz lima,8003.22
rafael ALVES,2909.21
camila dias ,4540.4
camila dias ,7623.05
 beatriz lima,4149.72
 beatriz lima,4027.5
 marina rocha ,2921.11
PAULO henrique,3832.04
CARLOS souza ,2331.85
PAULO henrique,12838.28
 Lucas martins,930.75
camila dias ,2593.61
 marina rocha ,4194.9
 beatriz lima,4029.9
 beatriz lima,2328.9
PAULO henrique,646.52
rafael ALVES,1073.06
ana costa,3333.53
PAULO henrique,468.83
CARLOS souza ,4390.98
 Lucas martins,6134.28
